degisken,karsilastirma,z,p_ham,p_bh
ndvi,Mimarlik - Muhendislik,1.6925788091013028,0.09053566747529851,0.10562494538784827
ndvi,Denizcilik - Turizm,4.325273057557176,1.5234303582800478e-5,2.1328025015920667e-5
ndvi,Fen Edebiyat - Turizm,-8.154562298190747,3.504467362689861e-16,1.090278735059068e-15
ndvi,Guzel Sanatlar - Turizm,-13.590268649047767,4.5739842959231535e-42,1.280715602858483e-40
ndvi,Hukuk - Turizm,-9.319948691554853,1.1639657485198404e-20,6.518208191711105e-20
ndvi,Isletme - Turizm,-2.133088295749456,0.03291748373275187,0.04007345845726315
ndvi,Mimarlik - Turizm,-1.257372328613186,0.20861884437679473,0.23365310570201012
ndvi,Muhendislik - Turizm,-4.034774557881609,5.4654748070486926e-5,6.9560588453347e-5
ndbi,Denizcilik - Fen Edebiyat,-10.588477270839473,3.3702959324555065e-26,9.436828610875417e-25
ndbi,Denizcilik - Guzel Sanatlar,-8.398216141206534,4.5331222868534716e-17,4.2309141343965737e-16
ndbi,Fen Edebiyat - Guzel Sanatlar,2.8363306819432808,0.0045635168541605245,0.0058081123598406675
ndbi,Denizcilik - Hukuk,-6.2050357863437124,5.468445752899781e-10,1.5311648108119388e-9
ndbi,Fen Edebiyat - Hukuk,7.221409439344176,5.145148114933995e-13,2.058059245973598e-12
ndbi,Guzel Sanatlar - Hukuk,3.789274074213738,1.510881492564974e-4,2.350260099545515e-4
ndbi,Denizcilik - Isletme,-4.562111211007508,5.064180970629514e-6,8.341003951625082e-6
ndbi,Fen Edebiyat - Isletme,7.773050067983596,7.661843873286991e-15,4.290632569040715e-14
ndbi,Guzel Sanatlar - Isletme,4.874057972722434,1.093288837477036e-6,2.040805829957134e-6
ndbi,Hukuk - Isletme,1.7579728633109402,0.07875212674483063,0.09187748120230241
ndbi,Denizcilik - Mimarlik,-5.019827712611477,5.171784386320028e-7,1.0343568772640055e-6
ndbi,Fen Edebiyat - Mimarlik,8.04452733741579,8.657893265103793e-16,6.0605252855726546e-15
ndbi,Guzel Sanatlar - Mimarlik,4.863317201702049,1.154346322786776e-6,2.020106064876858e-6
ndbi,Hukuk - Mimarlik,1.4905716535064948,0.1360739911593838,0.15240287009850986
ndbi,Isletme - Mimarlik,-0.36881349106100336,0.7122667480977175,0.7122667480977175
ndbi,Denizcilik - Muhendislik,-7.164115027814202,7.829064694907604e-13,2.7401726432176614e-12
ndbi,Fen Edebiyat - Muhendislik,7.3575773435902025,1.8727790190092593e-13,8.739635422043211e-13
ndbi,Guzel Sanatlar - Muhendislik,3.3423657302099326,8.306753256301013e-4,0.001224153111454886
ndbi,Hukuk - Muhendislik,-1.1254527358833804,0.26039723480793775,0.28042779133162526
ndbi,Isletme - Muhendislik,-2.842194758577195,0.004480411205013763,0.005973881606685017
ndbi,Mimarlik - Muhendislik,-2.6915470901284784,0.0071121457014917235,0.008658264332250795
ndbi,Denizcilik - Turizm,-9.467159075882028,2.8755795420141926e-21,4.0258113588198695e-20
ndbi,Fen Edebiyat - Turizm,2.843157557382082,0.004466898241082123,0.006253657537514973
ndbi,Guzel Sanatlar - Turizm,-0.5822497505399219,0.5603984669490514,0.5811539657249422
ndbi,Hukuk - Turizm,-5.375638476294513,7.631177507304565e-8,1.780608085037732e-7
ndbi,Isletme - Turizm,-6.19269731607458,5.914323922249765e-10,1.5054642711181218e-9
ndbi,Mimarlik - Turizm,-6.408419466082382,1.4703591144900226e-10,4.574450578413404e-10
ndbi,Muhendislik - Turizm,-5.370031883248934,7.872272300863695e-8,1.6955663417244882e-7
glcm_contrast,Denizcilik - Fen Edebiyat,9.16652756564804,4.8850126569729354e-20,9.770025313945871e-20
glcm_contrast,Denizcilik - Guzel Sanatlar,14.15085830635612,1.8449167851542626e-45,7.37966714061705e-45
glcm_contrast,Fen Edebiyat - Guzel Sanatlar,7.938332405600519,2.0491756114215584e-15,3.375112771753155e-15
glcm_contrast,Denizcilik - Hukuk,10.244576948252867,1.2517126231155649e-24,2.6959964190181396e-24
glcm_contrast,Fen Edebiyat - Hukuk,1.5560232875163706,0.11970255488510474,0.12413598284381232
glcm_contrast,Guzel Sanatlar - Hukuk,-6.698165924444373,2.1105155559480322e-11,3.110233450870784e-11
glcm_contrast,Denizcilik - Isletme,0.6288441638991085,0.5294510836714219,0.5294510836714219
glcm_contrast,Fen Edebiyat - Isletme,-11.542415244455247,8.062898353711449e-31,2.2576115390392054e-30
glcm_contrast,Guzel Sanatlar - Isletme,-17.905838381868975,1.0618411468380653e-71,9.91051737048861e-71
glcm_contrast,Hukuk - Isletme,-13.12738419997968,2.2944607537769147e-39,7.138322345083735e-39
glcm_contrast,Denizcilik - Mimarlik,3.0878612102321648,0.002016026013705806,0.0023520303493234406
glcm_contrast,Fen Edebiyat - Mimarlik,-8.87428855000019,7.038186814047306e-19,1.3137948719554972e-18
glcm_contrast,Guzel Sanatlar - Mimarlik,-15.848613930108366,1.4371582008223726e-56,6.706738270504405e-56
glcm_contrast,Hukuk - Mimarlik,-10.563181297316453,4.4144239280282244e-26,1.0300322498732524e-25
glcm_contrast,Isletme - Mimarlik,3.238576315982104,0.0012012787791653174,0.00146242633985343
glcm_contrast,Denizcilik - Muhendislik,4.8156919952302975,1.4669064219623626e-6,1.8669718097702797e-6
glcm_contrast,Fen Edebiyat - Muhendislik,-8.825625192373934,1.0885000224963565e-18,1.904875039368624e-18
