longitude,latitude,fakulte,glcm_contrast_5x5,glcm_homogeneity_5x5
27.205075848534342,38.3670846425526,Guzel Sanatlar,129.4729545454546,0.14787174268623668
27.203816668468633,38.367086838215286,Fen Edebiyat,50.0593181818182,0.18380282247275845
27.203931139389358,38.367086639168384,Fen Edebiyat,43.26227272727273,0.19075337618917493
27.203816415717505,38.36699671543416,Fen Edebiyat,50.85500000000001,0.18919451565566645
27.203930886496273,38.3669965163879,Fen Edebiyat,43.11386363636364,0.19271345351656546
27.204045357273912,38.36699631722988,Fen Edebiyat,40.74022727272727,0.18943213319699187
27.20415982805042,38.3669961179601,Fen Edebiyat,50.56681818181818,0.18675202256872614
27.204274298825805,38.36699591857856,Fen Edebiyat,59.93863636363637,0.18438451360622388
27.2038161629675,38.36690659265166,Fen Edebiyat,60.19522727272727,0.17777018264493122
27.20393063360432,38.36690639360603,Fen Edebiyat,52.30568181818182,0.17973190342820028
27.204045104240006,38.36690619444865,Fen Edebiyat,55.58454545454545,0.1794654004874122
27.204159574874566,38.36690599517951,Fen Edebiyat,68.42522727272728,0.1800178297173321
27.204274045507994,38.36690579579861,Fen Edebiyat,77.25454545454548,0.1827776450726274
27.20438851614029,38.36690559630595,Fen Edebiyat,82.9079545454546,0.18056191664738916
27.204502986771455,38.36690539670153,Fen Edebiyat,95.71840909090918,0.18265727791011124
27.203815910218626,38.36681646986775,Fen Edebiyat,67.6668181818182,0.17561626939467548
27.20393038071349,38.36681627082277,Fen Edebiyat,68.82295454545456,0.1782207391302244
27.204044851207232,38.366816071666015,Fen Edebiyat,73.86363636363636,0.1772347988539121
27.20415932169984,38.36681587239752,Fen Edebiyat,87.58204545454545,0.1757843139857561
27.20427379219132,38.36681567301726,Fen Edebiyat,96.57227272727276,0.1776200518287387
27.204388262681665,38.36681547352524,Fen Edebiyat,100.53704545454548,0.17474773834432716
27.204502733170877,38.36681527392147,Fen Edebiyat,112.19159090909096,0.178246978251293
27.204617203658955,38.36681507420594,Fen Edebiyat,122.72204545454552,0.18470747728415324
27.20381565747088,38.36672634708245,Fen Edebiyat,80.14704545454546,0.16226355237219386
27.2039301278238,38.36672614803811,Fen Edebiyat,85.89068181818182,0.16379366579419596
27.20404459817559,38.366725948882,Fen Edebiyat,91.07568181818182,0.16249687857468378
